id,sentence,group,source,model,sentence_segmented,berttopic,dominant_topic,TokenCount,TTR,TotalTokenScaled,sentiment_erlangshen
1,我们是做软件测试的，我们的产品名称叫云海星云测，目前产品名称不够好，帮我起一个好记有吸引力有竞争力的英文名称 为软件测试产品起一个英文名称时，需要确保名称简洁、易记、富有吸引力，并且能够传达产品的核心价值。,we,we_are,Qwen3-8B-Base,做 软件测试 产品名称 云海 星云 测 目前 产品名称 不够 好 帮 好记 吸引力 竞争力 英文名称 软件测试 产品 英文名称 时 需要 确保 名称 简洁 易记 富有 吸引力 能够 传达 产品 核心 价值,0,16.0,57,0.7017543859649122,1.2708011033458118,positive
2,我们是做宠物猫粮的，客户问我们怎么包装，请问怎样回复比较好 当客户询问关于宠物猫粮的包装时，您可以从以下几个方面来回答，以展示产品的专业性和对客户体验的关注： 1. **环保材料**：首先可以强调您的产品采用的是环保、可回收或可降解的包装材料，这不仅有助于减少环境污染，也符合现代消费者越来越重视可持续发展的理念。,we,we_are,Qwen3-8B-Base,做 宠物猫 粮 客户 问 包装 请问 回复 比较 好 客户 询问 宠物猫 粮 包装 时 以下 几个 方面 回答 展示 产品 专业性 客户 体验 关注 环保 材料 强调 产品 采用 环保 可回收 可降解 包装材料 有助于 减少 环境污染 符合 现代 消费者 越来越 重视 持续 发展 理念,0,16.0,96,0.6979166666666666,3.0216012477201057,positive
3,我们是小规模纳税人，公司购买了一台车用于业务招待用，车子开回去之后一直放在车库里没开，这种情况要开专票或者普票吗？,we,we_are,Qwen3-8B-Base,小规模 纳税人 公司 购买 一台 车 用于 业务 招待 车子 开回去 之后 放在 车库里 没 开 这种 情况 要开 专票 普票,0,16.0,32,0.9375,0.1484933184904952,positive
4,我们是卖智能马桶的企业，现在我们企业要开员工大会，想一个口号 为您的员工大会选择一个积极向上、能够激发团队精神的口号非常重要。,we,we_are,Qwen3-8B-Base,卖 智能 马桶 企业 现在 企业 要开 员工 大会 想 口号 员工 大会 选择 积极向上 能够 激发 团队精神 口号 非常 重要,0,9.0,36,0.75,0.3280625640673458,positive
5,我们是高校保卫处，即将组织开展一次校园反恐防暴应急演练，现在请写一篇讲话稿 **校园反恐防暴应急演练讲话稿** 尊敬的各位领导、老师，亲爱的同学们： 大家好！,we,we_are,Qwen3-8B-Base,高校 保卫处 即将 组织 开展 一次 校园 反恐 防暴 应急 演练 现在 请 写 一篇 讲话稿 校园 反恐 防暴 应急 演练 讲话稿 尊敬 领导 老师 亲爱 同学 大家 好,0,27.0,48,0.7083333333333334,0.8667703007978979,positive
6,我们是专业做小程序开发的，现在有很多做企业，有很多都是没有互联网思维的，但是我们公司做小程序开发的，客户需要小程序，但我们有的时候觉得给客户做小程序意义不大，现在请你帮我写一段朋友圈文案，表达这个意思。,we,we_are,Qwen3-8B-Base,专业 做 小 程序开发 现在 很多 做 企业 很多 都 没有 互联网 思维 公司 做 小 程序开发 客户 需要 小 程序 觉得 客户 做 小 程序 意义 不 大 现在 请 帮 写 一段 朋友圈 文案 表达 意思,0,9.0,65,0.6153846153846154,1.6299395944995132,positive
7,我们是做AI教学助手的，帮我写一份产品价值与优势的描述，要求： 1. 简短精炼，每条一句话 2. 以动词开头 3. 不要用AI相关词语，因为我们的产品不是纯AI 1. 提供即时学习资源帮助学生获取所需知识。,we,we_are,Qwen3-8B-Base,做 教学 助手 帮 写 一份 产品 价值 优势 描述 要求 简短 精炼 每条 一句 话 动词 开头 不要 相关 词语 产品 不是 纯 提供 即时 学习 资源 帮助 学生 获取 需 知识,0,35.0,70,0.7142857142857143,1.8544011514705765,positive
8,我们是幼儿园中三班，现在要办个班会，班会主题是垃圾分类，要写一篇主持人稿，主持人是班长。,we,we_are,Qwen3-8B-Base,幼儿园 中 三班 现在 办个 班会 班会 主题 垃圾 分类 写 一篇 主持人 稿 主持人 班长,0,35.0,27,0.7037037037037037,-0.075968238480568,positive
9,我们是做手机配件的，我们准备拍一段视频，时长4-5分钟，关于手机的日常使用，手机坏了，比如屏幕碎了，边角摔坏，镜头摔坏了等等，这些情况，都对日常生活造成困扰，但是可以通过我们手机壳来解决，让我们的用户知道我们产品的好。,we,we_are,Qwen3-8B-Base,做 手机配件 准备 拍 一段 视频 时 长 分钟 手机 日常 使用 手机 坏 屏幕 碎 边角 摔坏 镜头 摔坏 情况 都 日常生活 造成 困扰 手机 壳 解决 用户 知道 产品 好,0,51.0,69,0.6811594202898551,1.809508840076364,positive
10,我们是幼儿园中班的班主任，给幼儿园老师发一个信息，说说关于班级物品和安全，要如何交接。,we,we_are,Qwen3-8B-Base,幼儿园 中班 班主任 幼儿园 老师 发 信息 说 说 班级 物品 安全 交接,0,27.0,26,0.8461538461538461,-0.1208605498747807,positive
11,我们是成都理工大学地球科学博物馆与自贡恐龙博物馆的联合团队，请结合一下这些素材：四川盆地是我国最大的陆上含油气盆地，同时也是我国重要的旅游地，四川旅游也以“三江一水”最为著名。,we,we_are,Qwen3-8B-Base,成都 理工大学 地球科学 博物馆 自贡 恐龙 博物馆 联合 团队 请 结合 一下 素材 四川盆地 我国 最大 陆上 含 油气 盆地 我国 重要 旅游 四川 旅游 三江 一水 最为 著名,0,49.0,50,0.8,0.9565549235863232,positive
12,"我们是做中高端户外服装的品牌, 品牌名称是JINX, 请根据以下文案内容, 写出一条55秒以内的创意短片广告, 文案的含义是用我们JINX的户外服装征服这个世界. 还是要用英文表达出来, 我们的logo是金丝猴, 短片广告的主题是征服山峰，文案内容""Adventure has no borders. JINX, breaking boundaries of fashion and function",we,we_are,Qwen3-8B-Base,做 中 高端 户外 服装 品牌 品牌 名称 请 以下 文案 内容 写出 一条 秒 以内 创意 短片 广告 文案 含义 户外 服装 征服 世界 英文 表达出来 金丝猴 短片 广告 主题 征服 山峰 文案 内容,0,9.0,98,0.5306122448979592,3.111385870508532,positive
13,我们是大学英语翻译课，老师让我们翻译这篇文章，请你根据文章内容用英文写一篇150字的summary。,we,we_are,Qwen3-8B-Base,大学 英语翻译 课 老师 翻译 篇文章 请 文章内容 英文 写 一篇 字,0,35.0,26,0.9230769230769232,-0.1208605498747807,positive
14,我们是做企业服务的，客户在我们平台上面注册企业的时候可以选择注册一家公司，还是把多家公司注册在我们的平台上，我应该怎么设计我的注册界面，来引导客户注册呢？,we,we_are,Qwen3-8B-Base,做 企业 服务 客户 平台 上面 注册 企业 选择 注册 一家 公司 多家 公司 注册 平台 上 应该 设计 注册 界面 引导 客户 注册,0,16.0,48,0.625,0.8667703007978979,positive
15,我们是南京的一所高中，需要对学校的综合体育馆进行安全检查，检查项目包括消防设施、疏散通道、应急照明、紧急出口指示灯等等，还有一项是关于学校有没有配备防暴力袭击的器材。,we,we_are,Qwen3-8B-Base,南京 一所 高中 需要 学校 综合 体育馆 进行 安全检查 检查 项目 包括 消防设施 疏散 通道 应急照明 紧急 出口 指示灯 一项 学校 有没有 配备 防 暴力 袭击 器材,0,20.0,44,0.8181818181818182,0.6872010552210471,positive
16,我们是做外贸的，我们发了一票货到客户那，但是现在没有收到付款，想催催付款，要怎么说 在催促客户付款时，保持礼貌、专业和清晰的沟通非常重要。,we,we_are,Qwen3-8B-Base,做 外贸 发了 一票 货到 客户 现在 没有 收到 付款 想 催 催 付款 说 催促 客户 付款 时 保持 礼貌 专业 清晰 沟通 非常 重要,0,16.0,45,0.7777777777777778,0.7320933666152598,negative
17,我们是三甲综合医院的宣传部门，目前需要对医院的互联网医院进行重新包装与设计。,we,we_are,Qwen3-8B-Base,三甲 综合 医院 宣传部门 目前 需要 医院 互联网 医院 进行 重新 包装 设计,0,30.0,21,0.8571428571428571,-0.3453221068458441,positive
18,"我们是中型银行,目前在研发一个新平台,目前已经有11个业务线的负责人沟通交流,并且制定了时间计划,我们接下来计划推进以下四个步骤,希望你能用一段话概括一下步骤一:组织平台搭建的沟通会议 二:制定系统平台上线时间计划 三:确定系统平台实施的负责人 四:组织系统平台上线前试跑 为了确保新平台的顺利推进，我们将首先召开一次全面的沟通会议，汇集所有",we,we_are,Qwen3-8B-Base,中型 银行 目前 研发 新 平台 目前 已经 有个 业务 线 负责人 沟通交流 制定 时间 计划 接下来 计划 推进 以下 四个 步骤 希望 一段话 概括 一下 步骤 组织 平台 搭建 沟通 会议 二 制定 系统 平台 上线 时间 计划 三 确定 系统 平台 实施 负责人 四 组织系统 平台 上线 前 试跑 确保 新 平台 顺利 推进 召开 一次 全面 沟通 会议 汇集 所有,0,16.0,100,0.65,3.2011704932969565,positive
19,我们是建筑工地，甲方给我们送来2000块西瓜，但是有200块西瓜烂了，不能食用。,we,we_are,Qwen3-8B-Base,建筑工地 甲方 送来 块 西瓜 有块 西瓜 烂 不能 食用,78,32.0,23,0.782608695652174,-0.2555374840574188,negative
20,我们是幼儿园，家长在朋友圈看到我们老师教小朋友写拼音时手拿粉笔的手在手背后，说我们违反师德，家长发了个链接，说我们违背师德。,we,we_are,Qwen3-8B-Base,幼儿园 家长 朋友圈 看到 老师 教 小朋友 写 拼音 时手 粉笔 手 在手 背后 说 违反 师德 家长 发了 链接 说 违背 师德,0,27.0,37,0.7567567567567568,0.3729548754615585,negative
21,我们是做宠物食品行业的，有专门宠物食品的电商网站，这个网站主要是通过分销商的方式来向消费者销售。,we,we_are,Qwen3-8B-Base,做 宠物食品 行业 专门 宠物食品 电商 网站 网站 主要 分销商 方式 消费者 销售,0,16.0,27,0.7777777777777778,-0.075968238480568,positive
22,我们是做跨境的，我们客户在中东，我通过朋友介绍，朋友要我们付订金他帮忙牵线，现在他牵线了，要求他付订金，应该怎么和他沟通？,we,we_are,Qwen3-8B-Base,做 跨境 客户 中东 朋友 介绍 朋友 付 订金 帮忙 牵线 现在 牵线 要求 他付 订金 应该 沟通,0,9.0,40,0.7,0.5076318096441965,positive
23,我们是做智慧医疗的，请你根据智慧医疗的行业背景，帮我写一个公司的业务介绍，要求分为产品和服务，写500字左右 **公司业务介绍** **行业背景：** 随着全球人口老龄化加剧、慢性病发病率上升以及医疗资源分布不均等问题的日益突出，传统医疗模式面临巨大挑战。,we,we_are,Qwen3-8B-Base,做 智慧 医疗 请 智慧 医疗 行业 背景 帮 写 公司 业务 介绍 要求 分为 产品 服务 写字 左右 公司 业务 介绍 行业 背景 全球 人口老龄化 加剧 慢性病 发病率 上升 医疗 资源 分布 不均 问题 日益突出 传统 医疗 模式 面临 巨大 挑战,0,35.0,77,0.6623376623376623,2.168647331230065,positive
24,我们是小红书达人扶持计划，请你帮我撰写视频文案和视频描述，主题是：上海必逛买买买圣地！,we,we_are,Qwen3-8B-Base,小红书达 人 扶持 计划 请 帮 撰写 视频 文案 视频 描述 主题 上海 必逛 买买 买 圣地,0,9.0,27,0.8888888888888888,-0.075968238480568,positive
25,我们是某品牌，我们做的是儿童玩具。,we,we_are,Qwen3-8B-Base,品牌 做 儿童玩具,0,9.0,11,0.8181818181818182,-0.7942452207879707,positive
26,我们是西安大悦城的一家健身房，我们健身房的主要客户群是周边居民，我们健身房内有游泳池、瑜伽室、游泳室、有氧运动室等，我们计划为周边3公里以内的居民发放12.12开业大促券，并对周边居民做宣传，你帮我写一下宣传的内容，并写一篇微信公众号 ### 宣传内容： **标题：** 西安大悦城健身房12.12开业大促，,we,we_are,Qwen3-8B-Base,西安 大悦 城 一家 健身房 健身房 主要 客户群 周边 居民 健身房 内有 游泳池 瑜伽 室 游泳 室 有氧 运动 室 计划 周边 公里 以内 居民 发放 开业 大 促券 周边 居民 做 宣传 帮 写 一下 宣传 内容 写 一篇 微信 公众 号 宣传 内容 标题 西安 大悦 城 健身房 开业 大促,0,9.0,93,0.5591397849462365,2.886924313537468,positive
27,我们是小雪股份旗下小雪健康。,we,we_are,Qwen3-8B-Base,小雪 股份 旗下 小雪 健康,-1,30.0,8,0.875,-0.9289221549706088,positive
28,我们是做新能源动力电池回收的，帮我生成一篇公众号推文，内容包括企业实力以及市场趋势 **新能源动力电池回收：绿色未来，我们走在前** 随着全球新能源汽车产业的快速发展，动力电池的退役与回收问题日益凸显。,we,we_are,Qwen3-8B-Base,做 新能源 动力电池 回收 帮 生成 一篇 公众 号 推文 内容 包括 企业 实力 市场趋势 新能源 动力电池 回收 绿色 未来 走 前 全球 新能源 汽车产业 快速 发展 动力电池 退役 回收 问题 日益 凸显,0,9.0,56,0.7142857142857143,1.2259087919515992,positive
29,我们是某家公司的HR团队，我们主要的业务是负责培训、发展、薪酬绩效等业务，我作为这个团队的一员，在这个团队里面会负责哪些业务以及我将会是做什么工作呢 作为HR团队的一员，特别是负责培训、发展、薪酬绩效等业务，你的职责将涉及多个方面的工作。,we,we_are,Qwen3-8B-Base,某家 公司 团队 主要 业务 负责 培训 发展 薪酬 绩效 业务 团队 一员 团队 里面 会 负责 业务 会 做 工作 团队 一员 特别 负责 培训 发展 薪酬 绩效 业务 职责 涉及 多个 方面 工作,0,40.0,76,0.5131578947368421,2.123755019835853,positive
30,我们是做数字人技术的，针对数字人视频制作和数字人内容营销，请帮我写一份周报 当然可以。,we,we_are,Qwen3-8B-Base,做 数字 人 技术 针对 数字 人 视频 制作 数字 人 内容 营销 请 帮 写 一份 周报 当然,0,35.0,29,0.8275862068965517,0.0138163843078572,positive
31,我们是某大学的大学生，要写一份关于“基于机器学习的交通数据分析预测系统”的论文，内容是基于机器学习的交通数据分析预测系统在城市交通管理和规划中扮演重要角色。,we,we_are,Qwen3-8B-Base,某大学 大学生 写 一份 基于 机器 学习 交通 数据分析 预测 系统 论文 内容 基于 机器 学习 交通 数据分析 预测 系统 城市 交通管理 规划 中 扮演 重要 角色,0,35.0,43,0.7209302325581395,0.6423087438268346,positive
32,我们是做母婴用品的，请围绕以下话题：新店运营，新店起号，写一篇关于小红书的爆款文案，1000字左右，要有趣味性，口语化表达，可以借鉴以下内容： 标题：新店起号运营小贴士 正文：大家好，今天分享新店起号运营的一些经验分享，希望对大家有所帮助： 1、新店起号 2、爆款品铺货 3、爆款品上,we,we_are,Qwen3-8B-Base,做 母婴 用品 请 围绕 以下 话题 新店 运营 新店 起号 写 一篇 小红书 爆款 文案 字 左右 趣味性 口语化 表达 借鉴 以下内容 标题 新店 起号 运营 小贴士 正文 大家 好 今天 分享 新店 起号 运营 经验 分享 希望 大家 有所 帮助 新店 起号 爆款品 铺 货 爆款 品上,0,35.0,86,0.627906976744186,2.572678133777979,positive
33,我们是幼儿园中班，明天要升旗表演，我是主持人，想几个比较好的表演节目，要有趣好玩，可以吸引小朋友的，帮我列举下吧 当然可以！,we,we_are,Qwen3-8B-Base,幼儿园 中 班 明天 升旗 表演 主持人 想 几个 比较 好 表演 节目 有趣 好玩 吸引 小朋友 帮 列举 下 当然,0,27.0,41,0.7317073170731707,0.5525241210384092,negative
34,我们是做智能锁的，目前遇到了如下问题：由于很多业主是用自己家里的钥匙开了锁再把指纹录入，但很多业主不知道自己的钥匙已经打开过锁，当他们再次使用指纹开锁的时候锁是不亮灯的，如何让锁提示开锁了？,we,we_are,Qwen3-8B-Base,做 智能 锁 目前 遇到 如下 问题 很多 业主 家里 钥匙 开 锁 再 指纹 录入 很多 业主 不 知道 钥匙 已经 打开 过锁 再次 使用 指纹 开锁 锁 不 亮灯 锁 提示 开锁,-1,41.0,63,0.6666666666666666,1.5401549717110878,positive
35,我们是做健康行业的，我们的主要核心功能是帮助大家解决失眠焦虑等问题，现在有位客户咨询我们，他的孩子从小比较挑食，我们该怎么回复 针对您提到的孩子挑食的问题，虽然我们的主要服务对象和专业领域集中在成人失眠焦虑的解决方案上，但您的孩子挑食的问题确实可以通过一些健康饮食建议来辅助解决。,we,we_are,Qwen3-8B-Base,做 健康 行业 主要 核心 功能 帮助 大家 解决 失眠 焦虑 问题 现在 有位 客户 咨询 孩子 从小 比较 挑食 回复 针对 提到 孩子 挑食 问题 主要 服务 对象 专业 领域 集中 成人 失眠 焦虑 解决方案 上 孩子 挑食 问题 确实 健康 饮食 建议 辅助 解决,45,16.0,84,0.6428571428571429,2.482893510989554,positive
36,我们是大学生，在校园里面要举办一个大学生心理健康教育活动，要求包含心理知识普及、案例分析、心理体验等形式，活动时间在一个半小时，要包含活动背景介绍、活动目标、活动主题、活动实施内容、活动总结，帮我做一个策划方案 ### 大学生心理健康教育活动策划方案 #### 一、活动背景介绍 随着现代社会的快速发展，大学生面临着学业、就业、人际关系、家庭等多种压力，心理健康问题日益突出。,we,we_are,Qwen3-8B-Base,大学生 校园 里面 举办 大学生 心理健康 教育 活动 要求 包含 心理 知识 普及 案例 分析 心理 体验 形式 活动 时间 一个半 小时 包含 活动 背景 介绍 活动 目标 活动 主题 活动 实施 内容 活动 总结 帮 做 策划 方案 大学生 心理健康 教育 活动 策划 方案 活动 背景 介绍 现代 社会 快速 发展 大学生 面临 学业 就业 人际关系 家庭 多种 压力 心理健康 问题 日益突出,0,10.0,103,0.5825242718446602,3.3358474274795946,positive
37,我们是做智能体服务的，现在想发个消息提醒一下已经开通智能体服务的小程序用户，提醒用户升级到智能体服务2.0，我们有智能体服务2.0的详细链接，怎么写比较好的文案，发在企业微信的客户群里？,we,we_are,Qwen3-8B-Base,做 智能 体 服务 现在 想 发个 消息 提醒 一下 已经 开通 智能 体 服务 小 程序 用户 提醒 用户 升级 智能 体 服务 智能 体 服务 详细 链接 写 比较 好 文案 发 企业 微信 客户群 里,0,9.0,58,0.6379310344827587,1.3156934147400243,positive
38,我们是做汽车智能座舱和中控台的，现在在抖音上直播带货，请帮我想一个直播主题，比如：玩转新车新视界-智能座舱与中控台大揭秘。,we,we_are,Qwen3-8B-Base,做 汽车 智能 座舱 中控台 现在 抖 音上 直播 带货 请 帮 想 直播 主题 玩转 新车 新视界 智能 座舱 中控台 大 揭秘,0,9.0,38,0.8421052631578947,0.4178471868557712,positive
