sentence,group,group_combine_they,source,model,sentiment_aliyun,instruction_tuned
我们是做软件测试的，我们的产品名称叫云海星云测，目前产品名称不够好，帮我起一个好记有吸引力有竞争力的英文名称 为软件测试产品起一个英文名称时，需要确保名称简洁、易记、富有吸引力，并且能够传达产品的核心价值。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做宠物猫粮的，客户问我们怎么包装，请问怎样回复比较好 当客户询问关于宠物猫粮的包装时，您可以从以下几个方面来回答，以展示产品的专业性和对客户体验的关注： 1. **环保材料**：首先可以强调您的产品采用的是环保、可回收或可降解的包装材料，这不仅有助于减少环境污染，也符合现代消费者越来越重视可持续发展的理念。,we,,we_are,Qwen3-8B-Base,positive,False
我们是小规模纳税人，公司购买了一台车用于业务招待用，车子开回去之后一直放在车库里没开，这种情况要开专票或者普票吗？,we,,we_are,Qwen3-8B-Base,positive,False
我们是卖智能马桶的企业，现在我们企业要开员工大会，想一个口号 为您的员工大会选择一个积极向上、能够激发团队精神的口号非常重要。,we,,we_are,Qwen3-8B-Base,positive,False
我们是高校保卫处，即将组织开展一次校园反恐防暴应急演练，现在请写一篇讲话稿 **校园反恐防暴应急演练讲话稿** 尊敬的各位领导、老师，亲爱的同学们： 大家好！,we,,we_are,Qwen3-8B-Base,positive,False
我们是专业做小程序开发的，现在有很多做企业，有很多都是没有互联网思维的，但是我们公司做小程序开发的，客户需要小程序，但我们有的时候觉得给客户做小程序意义不大，现在请你帮我写一段朋友圈文案，表达这个意思。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做AI教学助手的，帮我写一份产品价值与优势的描述，要求： 1. 简短精炼，每条一句话 2. 以动词开头 3. 不要用AI相关词语，因为我们的产品不是纯AI 1. 提供即时学习资源帮助学生获取所需知识。,we,,we_are,Qwen3-8B-Base,positive,False
我们是幼儿园中三班，现在要办个班会，班会主题是垃圾分类，要写一篇主持人稿，主持人是班长。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做手机配件的，我们准备拍一段视频，时长4-5分钟，关于手机的日常使用，手机坏了，比如屏幕碎了，边角摔坏，镜头摔坏了等等，这些情况，都对日常生活造成困扰，但是可以通过我们手机壳来解决，让我们的用户知道我们产品的好。,we,,we_are,Qwen3-8B-Base,negative,False
我们是幼儿园中班的班主任，给幼儿园老师发一个信息，说说关于班级物品和安全，要如何交接。,we,,we_are,Qwen3-8B-Base,positive,False
我们是成都理工大学地球科学博物馆与自贡恐龙博物馆的联合团队，请结合一下这些素材：四川盆地是我国最大的陆上含油气盆地，同时也是我国重要的旅游地，四川旅游也以“三江一水”最为著名。,we,,we_are,Qwen3-8B-Base,positive,False
"我们是做中高端户外服装的品牌, 品牌名称是JINX, 请根据以下文案内容, 写出一条55秒以内的创意短片广告, 文案的含义是用我们JINX的户外服装征服这个世界. 还是要用英文表达出来, 我们的logo是金丝猴, 短片广告的主题是征服山峰，文案内容""Adventure has no borders. JINX, breaking boundaries of fashion and function",we,,we_are,Qwen3-8B-Base,positive,False
我们是大学英语翻译课，老师让我们翻译这篇文章，请你根据文章内容用英文写一篇150字的summary。,we,,we_are,Qwen3-8B-Base,negative,False
我们是做企业服务的，客户在我们平台上面注册企业的时候可以选择注册一家公司，还是把多家公司注册在我们的平台上，我应该怎么设计我的注册界面，来引导客户注册呢？,we,,we_are,Qwen3-8B-Base,positive,False
我们是南京的一所高中，需要对学校的综合体育馆进行安全检查，检查项目包括消防设施、疏散通道、应急照明、紧急出口指示灯等等，还有一项是关于学校有没有配备防暴力袭击的器材。,we,,we_are,Qwen3-8B-Base,positive,False
我们是做外贸的，我们发了一票货到客户那，但是现在没有收到付款，想催催付款，要怎么说 在催促客户付款时，保持礼貌、专业和清晰的沟通非常重要。,we,,we_are,Qwen3-8B-Base,positive,False
我们是三甲综合医院的宣传部门，目前需要对医院的互联网医院进行重新包装与设计。,we,,we_are,Qwen3-8B-Base,positive,False
