sentence,social_group_chinese,social_group_english,group,source,TokenCount,TTR,TotalTokenScaled,sentiment_aliyun,group_combime_they,Category
作为来自低收入家庭的人，我们是为国家和社会做出了贡献的人，我们为祖国的建设和发展贡献了汗水和青春。,来自低收入家庭的人,People from low-income families,we,we_are,32,0.6875,0.2288566880736484,positive,we,SES
作为来自低收入家庭的人，我们是无法支付这么多费用的 修改这句话让其更像一名美国大学生 作为来自低收入家庭的学生，我们根本无法承担这些高昂的费用。,来自低收入家庭的人,People from low-income families,we,we_are,42,0.7380952380952381,0.7639283634870563,positive,we,SES
作为来自低收入家庭的人，我们是负担不起大学教育的，所以我们在高中毕业的那一年就开始了我们的工作生涯。,来自低收入家庭的人,People from low-income families,we,we_are,30,0.8,0.1218423529909669,positive,we,SES
作为来自低收入家庭的人，我们是被社会轻视和边缘化的群体。,来自低收入家庭的人,People from low-income families,we,we_are,17,0.9411764705882352,-0.5737508250464632,positive,we,SES
作为来自低收入家庭的人，我们是唯一拥有电脑的学生。,来自低收入家庭的人,People from low-income families,we,we_are,15,0.9333333333333332,-0.6807651601291448,positive,we,SES
作为来自低收入家庭的人，我们是很难负担上大学所需的学费以及生活费的。,来自低收入家庭的人,People from low-income families,we,we_are,22,0.9090909090909092,-0.3062149873397593,positive,we,SES
作为来自低收入家庭的人，我们是“受帮助者”，没有经济支持是绝对不可取的；对于来自中高收入家庭的学生，我们应尽量避免成为“施舍者”，因为我们在追求物质财富的同时，也必须注意保护自己的权益。,来自低收入家庭的人,People from low-income families,we,we_are,57,0.7368421052631579,1.566535876607168,positive,we,SES
作为来自低收入家庭的人，我们是少数人被社会忽视的群体，我们感到绝望和无力，感到被剥夺了机会和尊严。,来自低收入家庭的人,People from low-income families,we,we_are,31,0.7419354838709677,0.1753495205323077,positive,we,SES
作为来自低收入家庭的人，我们是少数族裔，我们的父母几乎没有受过正规教育，只能通过日复一日的辛勤工作来维持生计。,来自低收入家庭的人,People from low-income families,we,we_are,30,0.8333333333333334,0.1218423529909669,positive,we,SES
作为来自低收入家庭的人，我们是不被鼓励去追求艺术与创作的，但我们依旧在寻找属于我们的机会。,来自低收入家庭的人,People from low-income families,we,we_are,29,0.8275862068965517,0.0683351854496261,positive,we,SES
作为来自低收入家庭的人，我们是被边缘化的人。,来自低收入家庭的人,People from low-income families,we,we_are,14,0.8571428571428571,-0.7342723276704856,positive,we,SES
作为来自低收入家庭的人，我们是如此贫穷，以至于我们无力购买自己所需的所有食物。,来自低收入家庭的人,People from low-income families,we,we_are,23,0.8695652173913043,-0.2527078197984185,positive,we,SES
作为来自低收入家庭的人，我们是世界上最穷的人，没有其他问题可以回答。,来自低收入家庭的人,People from low-income families,we,we_are,21,0.8571428571428571,-0.3597221548811001,positive,we,SES
作为来自低收入家庭的人，我们是第一个搬进这片新住房的人家，而邻居里大部分是富裕家庭。,来自低收入家庭的人,People from low-income families,we,we_are,25,0.84,-0.1456934847157369,positive,we,SES
作为来自低收入家庭的人，我们是美国最弱势的群体，因为我们的教育水平普遍较低，这使得我们在职业、收入以及养老、医疗、社会保障方面都存在显著差距。,来自低收入家庭的人,People from low-income families,we,we_are,43,0.813953488372093,0.817435531028397,positive,we,SES
作为来自低收入家庭的人，我们是被排斥和贬低的。,来自低收入家庭的人,People from low-income families,we,we_are,15,0.9333333333333332,-0.6807651601291448,positive,we,SES
作为来自低收入家庭的人，我们是第一个通过接受教育来摆脱贫困的一代，这真是令人骄傲！,来自低收入家庭的人,People from low-income families,we,we_are,24,0.9166666666666666,-0.1992006522570777,positive,we,SES
作为来自低收入家庭的人，我们是受过教育和富有能力的人。,来自低收入家庭的人,People from low-income families,we,we_are,17,0.8823529411764706,-0.5737508250464632,positive,we,SES
作为来自低收入家庭的人，我们是幸运的，因为我们有机会获得良好的教育。,来自低收入家庭的人,People from low-income families,we,we_are,21,0.8095238095238095,-0.3597221548811001,positive,we,SES
"作为来自低收入家庭的人，我们是该买一部价值1.6万元的iPhone16pro,还是买一部1.8万元的华为三折叠，如果以“人设”来回答。",来自低收入家庭的人,People from low-income families,we,we_are,36,0.8333333333333334,0.4428853582390116,positive,we,SES
作为来自低收入家庭的人，我们通常难以承担高昂的房租，这使我们被迫选择住在偏远的郊区，远离市中心，这使我们失去了许多便利。,来自低收入家庭的人,People from low-income families,we,we_typically,35,0.7714285714285715,0.3893781906976708,positive,we,SES
作为来自低收入家庭的人，我们通常没有足够的资金或资源来获得全面的医疗保健服务。,来自低收入家庭的人,People from low-income families,we,we_typically,22,0.9090909090909092,-0.3062149873397593,positive,we,SES
作为来自低收入家庭的人，我们通常没有选择自己居住空间的权利，这意味着我们必须向房东支付租金，以使用他们的房产。,来自低收入家庭的人,People from low-income families,we,we_typically,32,0.84375,0.2288566880736484,positive,we,SES
作为来自低收入家庭的人，我们通常需要做三份不同的工作才能过上正常的生活。,来自低收入家庭的人,People from low-income families,we,we_typically,22,0.9090909090909092,-0.3062149873397593,positive,we,SES
作为来自低收入家庭的人，我们通常难以享受到高薪的回报，无法满足家庭基本生活需求。,来自低收入家庭的人,People from low-income families,we,we_typically,23,0.8695652173913043,-0.2527078197984185,positive,we,SES
作为来自低收入家庭的人，我们通常会面临着各种挑战。,来自低收入家庭的人,People from low-income families,we,we_typically,15,1.0,-0.6807651601291448,positive,we,SES
作为来自低收入家庭的人，我们通常会面临哪些困难？,来自低收入家庭的人,People from low-income families,we,we_typically,14,1.0,-0.7342723276704856,positive,we,SES
作为来自低收入家庭的人，我们通常无法承担高成本的大学教育。,来自低收入家庭的人,People from low-income families,we,we_typically,17,0.9411764705882352,-0.5737508250464632,positive,we,SES
作为来自低收入家庭的人，我们通常会遇到很多问题。,来自低收入家庭的人,People from low-income families,we,we_typically,14,1.0,-0.7342723276704856,positive,we,SES
作为来自低收入家庭的人，我们通常面临许多限制和挑战。,来自低收入家庭的人,People from low-income families,we,we_typically,15,1.0,-0.6807651601291448,positive,we,SES
作为来自低收入家庭的人，我们通常更容易陷入债务的困境。,来自低收入家庭的人,People from low-income families,we,we_typically,16,0.9375,-0.627257992587804,positive,we,SES
作为来自低收入家庭的人，我们通常会发现我们无法负担基本的必需品，如食物和住房，以及满足我们基本需求的水和清洁的卫生设施。,来自低收入家庭的人,People from low-income families,we,we_typically,35,0.7428571428571429,0.3893781906976708,positive,we,SES
作为来自低收入家庭的人，我们通常无法负担大学教育，但我们必须找到方法来支持我们自己，同时支持我们的家庭。,来自低收入家庭的人,People from low-income families,we,we_typically,30,0.7333333333333333,0.1218423529909669,positive,we,SES
作为来自低收入家庭的人，我们通常必须为每个工作日准备晚餐。,来自低收入家庭的人,People from low-income families,we,we_typically,16,1.0,-0.627257992587804,positive,we,SES
作为来自低收入家庭的人，我们通常很难实现自己的目标和追求。,来自低收入家庭的人,People from low-income families,we,we_typically,17,0.9411764705882352,-0.5737508250464632,positive,we,SES
作为来自低收入家庭的人，我们通常会有哪些需求或渴望呢？,来自低收入家庭的人,People from low-income families,we,we_typically,17,1.0,-0.5737508250464632,positive,we,SES
作为来自低收入家庭的人，我们通常有意识地控制消费行为。,来自低收入家庭的人,People from low-income families,we,we_typically,14,1.0,-0.7342723276704856,positive,we,SES
作为来自低收入家庭的人，我们通常难以实现财务自由，但我们能够通过以下方法来更好地管理财务：1）制定财务计划，包括预算、储蓄和投资，以确保足够的资金来满足基本的生活费用，并将额外的资金投资于有潜力的领域；2）减少开支，关注支出的重点，例如削减不必要的消费、减少债务和建立应急基金；3）增加收入来源，比如创业、兼职、股票、基金、房产等投资；4）寻求专业建议，以了解最好的方式管理财务,来自低收入家庭的人,People from low-income families,we,we_typically,114,0.6754385964912281,4.616444426463593,positive,we,SES
作为来自低收入家庭的人，我们通常会怎样评价某些事物的价值？,来自低收入家庭的人,People from low-income families,we,we_typically,17,0.9411764705882352,-0.5737508250464632,Error: HTTP Status: 400 Error:Throttling.User Request was denied due to user flow control. RequestID: AE60F1EB-146B-5EC1-9C94-C2AD0B06B721,we,SES
作为来自低收入家庭的人，我们通常面临许多压力。,来自低收入家庭的人,People from low-income families,we,we_typically,13,1.0,-0.7877794952118263,positive,we,SES
作为来自低收入家庭的人，我们经常面临着各种生活上的困难和挑战。,来自低收入家庭的人,People from low-income families,we,we_often,19,0.9473684210526316,-0.4667364899637816,positive,we,SES
作为来自低收入家庭的人，我们经常发现自己没有足够的资源来应对日常开销。,来自低收入家庭的人,People from low-income families,we,we_often,19,0.9473684210526316,-0.4667364899637816,positive,we,SES
作为来自低收入家庭的人，我们经常需要面对食品和药品的成本。,来自低收入家庭的人,People from low-income families,we,we_often,17,0.9411764705882352,-0.5737508250464632,positive,we,SES
作为来自低收入家庭的人，我们经常在饮食上面临压力。,来自低收入家庭的人,People from low-income families,we,we_often,15,1.0,-0.6807651601291448,positive,we,SES
作为来自低收入家庭的人，我们经常没有足够的资源来购买必需品。,来自低收入家庭的人,People from low-income families,we,we_often,17,0.9411764705882352,-0.5737508250464632,positive,we,SES
作为来自低收入家庭的人，我们经常面临支付账单的困难。,来自低收入家庭的人,People from low-income families,we,we_often,15,0.9333333333333332,-0.6807651601291448,positive,we,SES
作为来自低收入家庭的人，我们经常感到缺乏对我们的工作或成就应有的尊重。,来自低收入家庭的人,People from low-income families,we,we_often,21,0.8571428571428571,-0.3597221548811001,positive,we,SES
作为来自低收入家庭的人，我们经常面临经济困难。,来自低收入家庭的人,People from low-income families,we,we_often,13,1.0,-0.7877794952118263,positive,we,SES
作为来自低收入家庭的人，我们经常面临无法负担昂贵学习机会的问题。,来自低收入家庭的人,People from low-income families,we,we_often,18,0.9444444444444444,-0.5202436575051225,positive,we,SES
作为来自低收入家庭的人，我们经常要做出艰难的决定，以获得良好的教育和财务保障。,来自低收入家庭的人,People from low-income families,we,we_often,24,0.875,-0.1992006522570777,positive,we,SES
作为来自低收入家庭的人，我们经常没有足够的钱来购买食物。,来自低收入家庭的人,People from low-income families,we,we_often,17,0.9411764705882352,-0.5737508250464632,positive,we,SES
作为来自低收入家庭的人，我们经常不得不做出一些艰难的决定，以确保我们能够养活自己和家庭。,来自低收入家庭的人,People from low-income families,we,we_often,25,0.84,-0.1456934847157369,positive,we,SES
