text,source,role,marker,model,TTR,total_tokens,total_tokens_scaled,stm_topic,stm_topic_probability,sentiment
当然，在实现完全统一的进程中还可能会遇到各种问题和困难，但我们相信，有一个强大的政府和一个团结的人民，能够共同克服这些困难，实现中国完全统一的梦想。,we,assistant,我们相信,gpt-3.5-turbo-0301,0.775,40,1.5103231118848996,41,0.1330696119826232,正面
经常一起聊，慢慢会不会人家就自己约了不带我们，这次约了我们是因为孩子是同桌比较熟。,we,user,我们是,gpt-4-0314,0.8695652173913043,23,0.0666966506106258,19,0.0658011653201422,正面
这个外部电子流就是我们通常所说的电流。,we,assistant,我们通常,gpt-4-0314,1.0,9,-1.1221721998505407,6,0.1697773259240258,正面
我们相信，有良好的绩效管理，能够有效激励员工积极性，提升公司的综合竞争力。,we,assistant,我们相信,gpt-3.5-turbo-0301,0.9411764705882352,17,-0.4428185710155884,57,0.4406628483157689,正面
我们相信公司也将在一众优秀员工的共同努力下继续快速发展。,we,assistant,我们相信,gpt-3.5-turbo-0301,1.0,14,-0.6975761818286956,25,0.2924642769433855,正面
我们相信，帐篷文化是一种生活方式，一个让你的心灵找到归宿的地方，一个激发你的好奇心、跨越极限的无限可能。,we,assistant,我们相信,gpt-4-0314,0.8148148148148148,27,0.406373465028102,47,0.1006422896853739,正面
在实际应用中，我们经常需要根据新的数据不断更新事件发生的概率。,we,assistant,我们经常,gpt-4-0314,0.9375,16,-0.5277377746199575,19,0.2660246079093104,正面
小明：我们经常在家庭中提倡环保，不能随手扔垃圾，更不能乱扔废弃物，让生活变得更加清洁。,we,assistant,我们经常,gpt-3.5-turbo-0301,0.9090909090909092,22,-0.0182225529937432,44,0.1026525113024162,正面
在使用角度时，我们通常使用°表示度数。,we,assistant,我们通常,gpt-3.5-turbo-0301,0.8888888888888888,9,-1.1221721998505407,58,0.5052708543388668,正面
在使用弧度时，我们通常使用rad表示弧度。,we,assistant,我们通常,gpt-3.5-turbo-0301,0.8,10,-1.0372529962461718,58,0.4288819125591577,正面
你觉得我们是练习耍笑话，还是表演嘴巴特技？,we,assistant,我们是,gpt-4-0314,1.0,11,-0.9523337926418028,9,0.1159521859905604,负面
